1074.060059,1088.000000,1073.650024,1079.579956,1079.579956,1023200
1083.560059,1086.589966,1066.689941,1069.729980,1069.729980,1090000
1065.130005,1080.780029,1061.709961,1079.689941,1079.689941,1030000
1079.000000,1080.469971,1066.150024,1079.239990,1079.239990,756800
1079.020020,1082.560059,1073.775024,1075.660034,1075.660034,899400
1064.890015,1073.369995,1055.219971,1060.319946,1060.319946,1856900
1063.030029,1069.209961,1056.829956,1067.800049,1067.800049,1138500
1067.560059,1097.189941,1067.560059,1084.989990,1084.989990,3088300
1099.349976,1120.000000,1098.500000,1119.500000,1119.500000,2412000
1122.329956,1141.890015,1122.005005,1139.290039,1139.290039,1880000
1140.989990,1145.738037,1133.189941,1139.660034,1139.660034,1678000
1142.170044,1143.000000,1125.743042,1136.880005,1136.880005,1698200
1131.319946,1135.819946,1116.520020,1123.859985,1123.859985,1520000
1118.180054,1126.670044,1112.150024,1120.869995,1120.869995,1290800
1118.599976,1137.260010,1118.599976,1129.989990,1129.989990,1079300
1131.069946,1139.790039,1130.734985,1139.319946,1139.319946,912000
1141.119995,1146.500000,1133.380005,1134.790039,1134.790039,1506400
1143.849976,1155.469971,1140.640015,1152.119995,1152.119995,1343400
1148.859985,1153.420044,1143.484985,1152.260010,1152.260010,2122500
1143.650024,1174.310059,1143.589966,1173.459961,1173.459961,1413700
1158.500000,1171.270020,1154.010010,1168.060059,1168.060059,1560300
1175.310059,1186.285645,1171.800049,1176.352173,1176.352173,1176349
